OBJECTID_1,OBJECTID,NAME,ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Elk_Zone,Name_sort,regular_deer_url,elkZone_url_1,gmu_wtd_url
20,20,16A,22,580a6503-a208-4173-bda3-49e786a5a9ba,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,16A,"<a href=""https://idfg.idaho.gov/node/76961"" target=""_top"">Unit 16A</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77040"" target=""_top"">Unit 16A</a>"
21,21,14,19,c5f6e2a3-2e18-4579-b146-ce36af5b6c45,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Elk City,14,"<a href=""https://idfg.idaho.gov/node/76882"" target=""_top"">Unit 14</a>","<a href=""https://idfg.idaho.gov/node/76847"" target=""_top"">Elk City A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76848"""" target=""_top"">Elk City B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76993"" target=""_top"">Unit 14</a>"
22,22,13,18,43221489-e7c6-429c-9642-48350f729c53,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Hells Canyon,13,"<a href=""https://idfg.idaho.gov/node/76922"" target=""_top"">Unit 13</a>",No general season elk hunts,"<a href=""https://idfg.idaho.gov/node/76976"" target=""_top"">Unit 13</a>"
23,23,20,27,4412846f-9984-49ed-9cef-73995802d115,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,20,"<a href=""https://idfg.idaho.gov/node/76966"" target=""_top"">Unit 20</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77041"" target=""_top"">Unit 20</a>"
24,24,18,24,5963cee7-0083-4e9c-96c7-ae95b8049c87,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Hells Canyon,18,"<a href=""https://idfg.idaho.gov/node/76924"" target=""_top"">Unit 18</a>",No general season elk hunts,"<a href=""https://idfg.idaho.gov/node/76998"" target=""_top"">Unit 18</a>"
25,25,21,29,386f8a21-2d79-457d-b8cf-cfbb3f7ce9c6,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,21,"<a href=""https://idfg.idaho.gov/node/76880"" target=""_top"">Unit 21</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76982"" target=""_top"">Unit 21</a>"
26,26,21A,30,18872e40-1edd-4141-9dfa-31edf0148fc9,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,21A,"<a href=""https://idfg.idaho.gov/node/76881"" target=""_top"">Unit 21A</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76989"" target=""_top"">Unit 21A</a>"
27,27,19,25,905b4813-1546-463f-a757-d7253c315666,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,19,"<a href=""https://idfg.idaho.gov/node/76968"" target=""_top"">Unit 19</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>",No White-tailed Deer Opportunity
28,28,20A,28,28d03b46-0a4e-4553-a626-e84f02bb22ed,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Middle Fork,20A,"<a href=""https://idfg.idaho.gov/node/76965"" target=""_top"">Unit 20A</a>","<a href=""https://idfg.idaho.gov/node/76855"" target=""_top"">Middle Fork A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76856"""" target=""_top"">Middle Fork B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77037"" target=""_top"">Unit 20A</a>"
29,29,19A,26,fc64e0c3-37a9-44d2-9036-f4e8212239dc,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,19A,"<a href=""https://idfg.idaho.gov/node/76970"" target=""_top"">Unit 19A</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77036"" target=""_top"">Unit 19A</a>"
30,30,23,32,07fb856c-0c0d-4a82-8f1f-51f3462a4d1a,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,23,"<a href=""https://idfg.idaho.gov/node/76900"" target=""_top"">Unit 23</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77006"" target=""_top"">Unit 23</a>"
31,31,28,37,03ebaba5-3ed9-407a-a4e4-0faee288d6ac,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,28,"<a href=""https://idfg.idaho.gov/node/76891"" target=""_top"">Unit 28</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76977"" target=""_top"">Unit 28</a>"
32,32,22,31,7ea9811f-b478-4822-9faa-e03980bf4aa4,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Weiser River,22,"<a href=""https://idfg.idaho.gov/node/76938"" target=""_top"">Unit 22</a>","<a href=""https://idfg.idaho.gov/node/76878"" target=""_top"">Weiser River A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76879"""" target=""_top"">Weiser River B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77015"" target=""_top"">Unit 22</a>"
33,33,26,35,b0602994-cbf6-449c-bd9f-6e3979ffe0d5,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Middle Fork,26,"<a href=""https://idfg.idaho.gov/node/76960"" target=""_top"">Unit 26</a>","<a href=""https://idfg.idaho.gov/node/76855"" target=""_top"">Middle Fork A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76856"""" target=""_top"">Middle Fork B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77034"" target=""_top"">Unit 26</a>"
34,34,27,36,f781ebb5-b4f9-407a-bf88-f07db5c5bdda,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Middle Fork,27,"<a href=""https://idfg.idaho.gov/node/76963"" target=""_top"">Unit 27</a>","<a href=""https://idfg.idaho.gov/node/76855"" target=""_top"">Middle Fork A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76856"""" target=""_top"">Middle Fork B-Tag Limits</a>",No White-tailed Deer Opportunity
35,35,30,39,3dc7541f-9e97-4f9b-ab70-72d479abd7fd,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,30,"<a href=""https://idfg.idaho.gov/node/76895"" target=""_top"">Unit 30</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76986"" target=""_top"">Unit 30</a>"
36,36,24,33,44d39a70-a52f-4594-bbd2-4c02f0917415,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,24,"<a href=""https://idfg.idaho.gov/node/76936"" target=""_top"">Unit 24</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76991"" target=""_top"">Unit 24</a>"
